"Band","Genre","Location","Years active"
"Metalriser","Thrash Metal","San Antonio, Texas","2009-Present"
"Metalsix","Death Metal","California","N/A"
"Metalstorm","Heavy Metal","Houston, Texas","1986-1994"
"Metalstorm","Heavy/Power Metal","Columbus, Ohio","1988-1998, 2002-Present"
"MetalStorm","Thrash/Speed Metal","Queens (New York City), New York","1985-1990"
"Metalusafer","Heavy Metal","Chicago, Illinois","2013-Present"
"Metalwolf","Melodic Heavy/Power Metal","Richboro, Pennsylvania","1983-Present"
"Metalworks","Heavy Metal","DeKalb County, Georgia","1980-?"
"Metalwülf","Heavy/Speed/Thrash Metal","Lancaster, Pennsylvania","2011-2018, 2019-Present"
"Metamorphose","Thrash Metal","Redding, California","N/A"
"Metamorsia","Melodic Death Metal/Metalcore","Connecticut","2016-2018"
"Metanium","Heavy Metal","Washington, D.C.","2010-Present"
"Metaphobic","Death Metal","Atlanta, Georgia","2018-Present"
"Metatonic","Progressive Metal","San Diego, California","N/A"
"Metatron","Progressive Sludge Metal","Evansville, Indiana/Owensboro, Kentucky","1998-2011"
"Metavenge","Melodic Thrash Metal","Houston, Texas","N/A"
"Metazog","Brutal Death Metal","North Carolina","2015-Present"
"Meterse","Psychedelic Doom Metal","Vancouver, Washington","N/A"
"Meth","Black Metal","La Mesa, California","N/A"
"Meth Leppard","Stoner Metal/Thrash 'n' Roll","San Luis Obispo, California","2009-?"
"Meth Tooth","Death Metal/Grindcore","Oconomowoc, Wisconsin","N/A"
"Meth Valley","Heavy Metal","Allston, Massachusetts","2012-Present"
"Methadrone","Sludge/Drone/Doom Metal (early); Ambient/Post-Rock (later)","South Plainfield, New Jersey","2003-Present"
"Methedrine","Crossover","Scullville, New Jersey","1987-?"
"Methgoat","Black Metal/Noise","Los Angeles, California","2017-Present"
"Methius","Thrash  Metal","New York, New York","1999-Present"
"Method","Thrash Metal","Pleasant Hill, California","N/A"
"Methodust","Black/Thrash/Death Metal/Grindcore","San Dimas, California","1999-?"
"Methos","Progressive/Sludge/Groove Metal","Buffalo, New York","2011-2012"
"Methra","Sludge/Doom Metal","Tucson, Arizona","N/A"
"Methuselah","Black Metal","Cleveland, Ohio","2012-Present"
"Methuselah","Experimental Metal","Madison, Wisconsin","N/A"
"Methwitch","Brutal Death Metal/Deathcore/Hardcore","Albuquerque, New Mexico","2014-Present"
"Meticulous Butchery","Experimental Brutal Death Metal","California","N/A"
"Metonic","Heavy Metal","Fort Worth, Texas","2020-Present"
"Metookie","Black Metal","Ohio","2008-2011"
"Metrix","Thrash Metal","Lancaster, Pennsylvania","1999-Present"
"Metro Society","Progressive Metal","Springs, Colorado","2005-?"
"Metropolis","Heavy Metal","San Jose, California","N/A"
"Metus","Progressive Groove Metal","Detroit, Michigan","2002-Present"
"Metztli","Black Metal","Los Angeles, California","N/A"
"Mexican Ape-Lord","Melodic Thrash/Heavy Metal","Boston, Massachusetts","2012-Present"
"Meyvn","Progressive Metal","Austin, Texas","2003-2008, 2012-Present"
"Mhinotahn","Black/Death Metal","Houston, Texas","2010-Present"
"Mi'gauss","Death Metal","Greensburg, Pennsylvania","1995-?"
"Miasis","Groove Metal/Metalcore","Illinois","N/A"
"Miasma Theory","Heavy/Doom Metal","Florida","2020-Present"
"Miasmatic Necrosis","Goregrind",,"N/A"
"Miasmic","Black Metal","Eureka, California","2006-Present"
"Miasmic Ooze","Death Metal/Grindcore","Birmingham, Alabama","N/A"
"Micawber","Death Metal","Two Rivers, Wisconsin","2007-Present"
"Michael A. Ruelas","Progressive Metal/Shred","Albuquerque, New Mexico","N/A"
"Michael Abdow","Progressive Metal/Rock, Shred","Ludlow, Massachusetts","2010-Present"
"Michael Angelo Batio","Neoclassical Metal/Rock, Shred","Los Angeles, California","1986-1989 (as Michael Angelo Band), 1993-Present"
"Michael Carta","Melodic Heavy/Power Metal",,"N/A"
"Michael Ford","Thrash/Melodic Death Metal","Galveston, Texas","N/A"
"Michael Harris","Progressive Metal/Shred","Dayton, Ohio","1990-Present"
"Michael J. Kearns","Power Metal","West Middlesex, Pennsylvania","N/A"
"Michael Knight","Heavy Metal, Shred","New York, New York","1988-Present"
"Michael Mackert","Heavy Metal","Washington, D.C.","2007-Present"
"Michael R. Stevenson","Progressive Metal/Rock/Shred","Portland, Oregon","1990-Present"
"Michael Romeo","Progressive/Neoclassical Metal, Shred","New Jersey","1994-?, 2017-Present"
"Michael Shine","Heavy Metal","Melville (Long Island), New York","N/A"
"Michael Sweet","AOR/Pop Rock (early); Heavy Metal/Hard Rock (later)","Whittier, California","1992-Present"
"Michael Vescera","Melodic Heavy Metal","Nashville, Tennessee","2007-Present"
"Mickey's Finn","Heavy Metal/Hard Rock",,"N/A"
"Mico de Noche","Stoner Metal","Seattle, Washington","2001-Present"
"Mictlantecuhtli","Black/Thrash Metal","Los Angeles, California","1998-Present"
"Mid Evil","Thrash Metal","Orefield, Pennsylvania (early, later); Plano, Texas (mid)","1990-2000, 2020-? (as Hate Machine)"
"Mid-Evil","Thrash Metal","San Jose, California","N/A"
"Midas","Heavy Metal/Hard Rock","Detroit, Michigan","2018-Present"
"Middian","Sludge/Doom Metal","Eugene, Oregon","2006-2008"
"Midevil","Heavy/Thrash Metal","Lakewood, Ohio","1992-?"
"Midgard","Melodic Death Metal","Aurora, Colorado (early); Maryland/Pennsylvania (later)","2000-2006 (as Midgard), 2011-Present (as Midgard)"
"Midget Parade","Grindcore/Death Metal","Chicago, Illinois","2004-?"
"Midian","Black Metal/Ambient","El Sobrante, California","2004-2005, 2005-? (as Kali Yuga)"
"Midian","Thrash Metal","Saddle Brook, New Jersey (early); Little Falls/Patterson, New Jersey (later)","1988-1988 (as Demonic Force), 1988-1990 (as Mercenari), 1990-1992, ?-2008, 2010-2012"
"Midian","Doom Metal","Dallas, Texas","1996-?"
"Midian","Death/Groove Metal","Milwaukee, Wisconsin","N/A"
"Midmourner","Sludge/Doom Metal","Birmingham, Alabama","2014-Present"
"Midnartiis","Atmospheric Black/Folk Metal","Keller, Texas","2014-Present"
"Midnight","Black/Speed Metal","Cleveland, Ohio","2003-Present"
"Midnight Chaser","Heavy Metal","Pittsburgh, Pennsylvania (early) / San Francisco, California (later)","2008-? (as Awesome Party), ?-?"
"Midnight Descension","Atmospheric/Symphonic Black Metal","Minneapolis, Minnesota","2004-2017, ?-Present"
"Midnight Dice","Heavy Metal","Chicago, Illinois","2017-Present"
"Midnight Eternal","Symphonic Metal","New York, New York","2014-2019, 2019-? (as Everdawn)"
"Midnight Eye","Progressive Heavy/Power Metal","Washington, D.C.","2010-?"
"Midnight Funeral","Black Metal","Long Island, New York","2010-2012"
"Midnight Hero","Heavy Metal/Hard Rock","Philadelphia, Pennsylvania","1985-Present"
"Midnight Hour","Heavy Metal",,"N/A"
"Midnight Idöls","Heavy Metal","Seattle, Washington","2004-2012, 2017-Present"
"Midnight Mass","Black Metal","Chicago, Illinois","N/A"
"Midnight Reign","Power/Thrash/Gothic Metal","Los Angeles, California","1995-Present"
"Midnight Reign","Thrash/Heavy Metal","New Jersey","N/A"
"Midnight Sinfini","Symphonic Metal","Redwood City, California","2017-Present"
"Midnight Spell","Heavy Metal","Miami, Florida","2017-Present"
"Midnight Symphony","Heavy Metal/Hard Rock","Buffalo, New York","1995-Present"
"Midnightmare","Heavy Metal","Sullivan, Missouri","N/A"
"MidNightSerenity","Death/Thrash Metal","McFarland/Delano, California","N/A"
"Midnite Hellion","Heavy Metal","Trenton, New Jersey","2011-Present"
"Midwar","Black Metal","Ontario, California","2012-2014"
"Midwinter Storm","Experimental Doom Metal","Fort Lauderdale, Florida","1999-?"
"Midwynter","Epic Pagan/Black Metal","Colorado","2000-Present"
"Migas","Heavy/Thrash Metal","Austin, Texas","1997-Present"
"Mighty Wrath","Heavy Metal","New York","N/A"
"Migrant with Kind Eyes","Blackened Death Metal",,"N/A"
"Migrator","Doom/Post-Metal","Lawrence, Kansas","N/A"
"Miho","Stoner Metal/Rock","Omaha, Nebraska","2003-Present"
"Mij Sugen","Heavy/Speed Metal/Shred","Nashville, Tennessee","2018-Present"
"Mik Trokel","Heavy Metal","Suffolk, Virginia","N/A"
"Mike Albert Project","Heavy Metal/Hard Rock","Los Angeles, California","2005-Present"
"Mike Fillius","Shred/Fusion/Progressive Metal/Rock",,"N/A"
"Mike Kerr","Heavy Metal, Shred","Boston, Massachusetts","N/A"
"Mike LePond's Silent Assassins","Power Metal","Newark, New Jersey","2014-Present"
"Mike Mojecki","Black Metal","Hummelstown, Pennsylvania","2011-?"
"Mike Ray","Death Metal, Black Metal, Neoclassical/Shred","Farmingdale (Long Island), New York (early); Salt Lake City, Utah (later)","2008-Present"
"Mike Salow","Progressive Metal/Shred","Minneapolis, Minnesota","N/A"
"Mikhail","Symphonic Power Metal (early); Brutal/Progressive Death Metal (later)","Hyattsville, Maryland","2004-Present"
"Mikki Finn","Heavy Metal","Garden City, Michigan","N/A"
"Miles Beyond","Melodic Power Metal","Flint, Michigan","2002-?"
"Militant","Speed/Thrash Metal","East Stroudsburg, Pennsylvania","2003-?"
"Militant Civilian","Thrash/Power Metal","Paso Robles, California","N/A"
"Military Wife","Heavy/Power Metal","Malvern, Pennsylvania","N/A"
"Militia","Thrash/Speed/Power Metal","Austin, Texas","1984-1986, 2008-Present"
"Militia","Power/Thrash Metal","Apple Valley (early)/ Castro Valley (later), California","1986-?"
"Milk Toast","Thrash Metal/Crossover","Freeville, New York","?-1991, 1991-? (as Creeper), ?-? (as Shank 456), 2006-? (as Shank 456), 2019-2019 (as Creeper)"
"Milkman","Grindcore","Weymouth, Massachusetts","1997-?"
"Milkman","Melodic Black Metal","Cincinnati, Ohio","2014-2017"
"Millenia","Groove Metal","Chillicothe, Ohio","1993-2001"
"Millenium","Melodic Heavy Metal","Tampa, Florida","1997-2018"
"Millenium","Heavy/Thrash Metal","Kansas City, Missouri","N/A"
"Millennial Reign","Melodic Power Metal","Arlington, Texas","2010-Present"
"Millennium","Progressive Metal","Raleigh, North Carolina","1989-1991 (as Millenium)"
"Millennium","Heavy Metal","San Antonio, Texas","N/A"
"Milorganaut","Grindcore","Milwaukee, Wisconsin","2012-?"
"Milumet","Black Metal","Brownsville, Texas","N/A"
"Minarchist","Progressive Death Metal","Philadelphia, Pennsylvania","N/A"
"Minas Morgul","Black Metal","Birmingham, Alabama","N/A"
"Minas Tirith","Death Metal","New Jersey","2003-2003, 2003-? (as Helcaraxë)"
"Mince Meat","Grindcore/Brutal Death Metal","Wisconsin","2007-?"
"Mincery","Death/Thrash Metal/Grindcore with Jazz influences","Auburn, Washington","N/A"
"Mind as Prison","Grindcore","Baltimore, Maryland","2010-Present"
"Mind at Wrest","Speed/Thrash Metal","Los Angeles, California","2000-Present"
"Mind Chasm","Progressive Metal","Chicago, Illinois","2020-Present"
"Mind Eater","Death Metal","Harlingen, Texas","2015-Present"
"Mind Eraser","Thrash/Progressive Metal","Montville/Morristown, New Jersey","1991-1996"
"Mind Eraser","Powerviolence, Sludge/Doom Metal","Boston, Massachusetts","2003-2014"
"Mind Erasure","Thrash Metal/Hardcore","New York","N/A"
"Mind Furnace","Death/Thrash Metal","Sacramento, California","2004-Present"
"Mind Gravel","Groove Metal","Montville, Connecticut","N/A"
"Mind of Evil","Epic Doom Metal","Frederick, Maryland","2016-Present"
"Mind of Fury","Heavy Metal","Orlando, Florida","2015-Present"
"Mind over Four","Alternative/Progressive Metal","Los Angeles, California","1982-1995"
"Mind Pollution","Heavy Metal","Ramona, California","N/A"
"Mind Siege","Power Metal","Fort Worth, Texas","1990-1992"
"Mind Storm","Metalcore","Arkansas","N/A"
"Mind Virus","Sludge/Groove Metal","Port St. Lucie, Florida","2019-Present"
"Mind Warp","Heavy Metal","Ventura, California","2013-Present"
"Mind Wax","Stoner/Groove Metal","Kissimmee, Florida","N/A"
"Mind's Eye","Heavy Metal","Orlando, Florida","1988-1993 (as Mind's Eye)"
"Mindbreaker","Heavy Metal","Easton, Pennsylvania","2008-Present"
"Mindcage","Progressive/Power Metal","San Francisco, California (early); Gulf Breeze, Florida (later)","1996-Present"
"Minddrive","Power/Thrash Metal","Fort Plain, New York","N/A"
"MindEater","Death Metal","Texas","N/A"
"MindFault","Thrash Metal","Pittsburgh, Pennsylvania","N/A"
"Mindfield","Hardcore/Thrash Metal","Jacksonville, Florida","N/A"
"Mindforce","Crossover/Hardcore/Thrash Metal","Poughkeepsie, New York","2016-Present"
"Mindframe","Progressive Metal","Pittsburgh, Pennsylvania","1998-?"
"MindFunk","Heavy Metal/Stoner/Hard Rock","New Jersey","1989-1990 (as Mindfuck), 1990-1995"
"Mindgraft","Death Metal","Wausau, Wisconsin","N/A"
"Mindgrind","Thrash Metal","Hixson, Tennessee","N/A"
"Mindkor","Death Metal","Seattle, Washington","1999-?"
"Mindkult","Doom Metal/Rock","Virginia","2016-Present"
"Mindless Hope","Progressive Metal","Philadelphia, Pennsylvania","2009-Present"
"Mindless State","Thrash Metal","Glendale, California","1986-1993"
"Mindlock","Thrash/Death Metal","St. Joseph, Missouri","N/A"
"Mindloss","Death Metal","Chicago, Illinois","2018-Present"
"MindMaze","Power Metal","Allentown, Pennsylvania","2004-2009 (as Necromance), 2010-2012 (as Necromance), 2012-Present"
"Mindphaser","Thrash/Groove Metal","Greenville, South Carolina","N/A"
"Mindrape","Black/Thrash/Gothic Metal","Ogden, Utah","2001-Present"
"Mindrape","Thrash Metal","Detroit, Michigan","N/A"
"Mindrazer","Melodic Thrash Metal","Hackettstown, New Jersey","2017-Present"
"Mindrot","Atmospheric Doom/Death Metal","Orange County, California","1989-1998"
"Minds Decline","Thrash Metal","El Segundo, California","N/A"
"Minds Eye","Heavy Metal","Ijamsville, Maryland","1991-?, 2015-Present"
"Mindscape","Heavy Metal","Cleveland, Ohio","1995-?"
"Mindscape","Melodic Progressive Metal","Albany, New York","1990-1991 (as Chthonic), 1991-1993 (as Deviation), 1993-1996"
"Mindscar","Black Metal (early); Black/Death Metal/Metalcore (later)","Orlando, Florida","1998-2002, 2013-Present"
"Mindscar","Power/Thrash Metal","Woodstock, Illinois","N/A"
"Mindshaker","Industrial/Thrash Metal","Seattle, Washington","2000-?"
"Mindshroud","Blackened Doom Metal","Portland, Oregon","N/A"
"Mindsink","Progressive Power Metal","Cleveland, Ohio","N/A"
"Mindstorm","Death Metal","Louisville, Kentucky","1988-1993 (as Mayhem), 1993-?"
"Mindstorm","Progressive Metal","Dallas, Texas","N/A"
"Mindtraveler","Power Metal","Cleveland, Ohio","2005-?"
"Mindvent","Thrash/Groove/Death Metal","Yorktown, Virginia","2007-Present"
"Mindwarp Chamber","Progressive Power Metal","Chicago, Illinois","2006-?"
"MindZone","Power/Thrash/Groove Metal","San Francisco, California","1992-1996"
"Mine","Progressive Metal","Madison, Wisconsin","1997-2005"
"Mine Enemies Fall","Groove Metal","Kalamazoo, Michigan","2008-Present"
"Minenwerfer","Black Metal","Sacramento, California","2007-2014, 2016-Present"
"Miners","Heavy/Thrash Metal","Waukegan, Illinois","2012-Present"
"Minier","Thrash Metal","California","1990-?"
"Minimum Age","Blackened Thrash Metal","Poulsbo, Washington","2011-2014"
"Minister","Death/Thrash Metal","Huntington Park, California","2008-2011"
"Minister Sin","Heavy Metal","Raleigh, North Carolina","N/A"
"Ministers of Anger","Progressive/Thrash Metal","Los Angeles, California","1988-1988 (as Dagunz), 1988-?"
"Ministry","New Wave (early); Industrial/Electronic (mid); Industrial Rock/Metal (later)","Chicago, Illinois (early); El Paso, Texas (later)","1981-2008, 2011-2013, 2014-Present"
"Ministry of Hate","Thrash Metal","New Jersey / Texas","2011-Present"
"Ministry of Pain","Progressive Metal","Old Bridge, New Jersey","2001-2010"
"Minority","Thrash Metal","Los Angeles, California","?-?, 1998-? (as Nuclear Winter)"
"Minos","Folk Metal","Rochester, Minnesota","2009-2013"
"Minos","Sludge Metal","Chicago, Illinois","2015-?"
"Minotar","Heavy/Death Metal","New Jersey","1997-2008"
"Minotaur's Redemption","Folk/Thrash Metal","New Paltz, New York","2009-Present"
"Minoton","Stoner Metal/Rock","Vancouver, Washington","N/A"
"Minsk","Atmospheric Sludge/Post-Metal/Tribal","Peoria/Chicago, Illinois","2002-Present"
"Minthe","Atmospheric Black Metal","Richmond, Rhode Island","N/A"
"Minus Infinity","Progressive Death/Thrash Metal","Metairie, Louisiana","N/A"
"Mirage","Progressive Metal","Miami, Florida","N/A"
"Mire","Progressive Death/Groove Metal (early); Progressive Metalcore (later)","Denver, Colorado","2017-Present"
"Mire of Despondency","Black Metal/Ambient","Bethlehem, Pennsylvania","2015-2016"
"Mires","Atmospheric Doom/Drone/Post-Metal","Pittsburgh, Pennsylvania","2016-Present"
"Miri","Experimental Stoner/Doom Metal","Philadelphia, Pennsylvania","N/A"
"Mirk","Black Metal","Arizona","N/A"
"Mirkvid","Black Metal","Anchorage, Alaska","1996-2004"
"Mirkwood","Atmospheric Black Metal","California","2005-Present"
"Mirror Black","Heavy Metal","Madison, Wisconsin","N/A"
"Mirror Mirror","Heavy Metal","Phoenix, Arizona","1989-?"
"Mirror Mirror","Progressive Heavy Metal/Hard Rock","Portland, Oregon","?-? (as Titan), ?-1988 (as Sacred Reign), 1988-?"
"Mirror of Being","Melodic Groove Metal","Minneapolis/Saint Paul, Minnesota","2015-Present"
"Mirror of Dead Faces","Melodic Death Metal/Deathcore","Riverside, California","N/A"
"Mirrored Image","Technical Thrash/Power Metal","Rockford, Illinois","1985-1991, 1991-1993 (as For Christ's Sake)"
"Mirrors Edge","Heavy Metal","Arroyo Grande, California","N/A"
"Mirrorscape","Progressive Metal","St. Louis, Missouri","2005-Present"
"Mirthless","Progressive Death Metal/Deathcore","Atlanta, Georgia","2015-Present"
"Misanthropæ","Blackened Grindcore","New York","2021-Present"
"Misanthrope","Death Metal","Denver, Colorado","1999-2005"
"Misanthrophile","Progressive Metal","Phoenix, Arizona","2013-Present"
"Misanthropic","Sludge Metal/Grindcore/Crust Punk","Arizona","1997-1999"
"Misanthropic","Death Metal","Mesa, Arizona","2021-Present"
"Misanthropic Aggression","Black Metal/Crust","Atlanta, Georgia","2015-Present"
"Misanthropic Carnage","Death Metal","Ventura, California","N/A"
"Misanthropic Dysphoria","Brutal Death Metal","Lafayette, Indiana","2015-Present"
"Misanthropic Inoculation","Death Metal","Lafayette, Louisiana","2010-Present"
"Misanthropic Mayhem","Black/Death Metal","Bakersfield, California","N/A"
"Misanthropic Nemesis upon the Bloody Altar of Ragnarok","Black Metal","Houston, Texas","N/A"
"Misanthropic Oath","Viking/Folk/Black Metal","Wilkes-Barre, Pennsylvania","2004-Present"
"Misanthropic Offerings","Doom/Death Metal","Bellingham, Washington","N/A"
"Misanthropic Rituals","Black Metal","New Jersey","2012-Present"
"Misanthropical","Black Metal","Houston, Texas","2013-Present"
"Misanthropik Torment","Black/Death Metal","Lexington, Kentucky","N/A"
"Misanthropist","Death/Black Metal","Orlando, Florida","2004-Present"
"Misanthropist","Depressive Black Metal","Haverhill, New Hampshire","N/A"
"Misanthropos","Black Metal","Massachusetts","N/A"
"Misanthropy","Black Metal","Denver, Colorado","1997-Present"
"Misanthropy","Melodic Death Metal","Seattle, Washington","N/A"
"Misanthropy","Thrash Metal (early); Progressive Death Metal (later)","Chicago, Illinois","2012-Present"
"Misanthropy Legion","Black Metal","Cranbury/Dayton, New Jersey","N/A"
"Miscarriage","Death Metal","Cleveland, Ohio","1992-?"
"Mischief","Heavy Metal/Hard Rock","Fremont, California","1991-?, ?-? (as Athena)"
"Mischief Night","Black Metal","Baltimore, Maryland","2008-2013"
"Misconception","Progressive Metal","Wallingford, Connecticut","1990-2000"
"Miscreancy","Melodic Black/Death Metal","Monterey Park, California","2011-2016"
"Miscreant Disease","Brutal Death Metal","Corry, Pennsylvania","2017-2019, 2017-Present"
"Miscreants","Thrash/Doom/Death Metal","Saginaw, Michigan","1989-?"
"Miscreants","Thrash Metal","Aurora, Illinois","N/A"
"Misein","Black Metal","Covington, Kentucky","2000-?"
"Miser","Thrash Metal","Elizabethtown/Hummelstown, Pennsylvania","1988-?"
"Miserable","Black Metal","Portland, Oregon","2012-?"
"Miserable Crypt","Black Metal","Atlanta, Georgia","2019-Present"
"Miserable Failure","Death Metal/Grindcore","Thousand Oaks, California","N/A"
"Miserable Hermit","Black Metal","Charlotte, North Carolina","N/A"
"Miseria","Metalcore","Prunedale/Salinas, California","2006-2015"
"Misericordiam","Deathcore/Grindcore (early); Brutal Death Metal (later)","Las Vegas, Nevada","2004-2004 (as Without Prayer), 2004-2010"
"Misery","Black Metal","Washington","2002-Present"
"Misery","Thrash Metal","Union City, New Jersey","1987-1987 (as Instant Death), 1988-? (as Misery)"
"Misery","Funeral Doom Metal","Portland, Maine","N/A"
"Misery","Doom/Thrash Metal","Hayward, California","N/A"
"Misery","Thrash Metal","Bay Area, California","N/A"
"Misery","Black Metal",,"N/A"
"Misery","Thrash Metal/Hardcore","Long Island, New York","?-?, ?-? (as Misery Kills)"
"Misery Chastain","Deathcore/Death Metal","Cullman, Alabama","2006-2010"
"Misery City","Heavy Metal","Boston, Massachusetts","1992-?"
"Misery Index","Death Metal/Grindcore","Baltimore, Maryland","2001-Present"
"Misery Index","Thrash Metal","Gainesville, Florida","N/A"
"Misery Machine","Melodic Doom/Death Metal","Knoxville, Tennessee","N/A"
"Misery Remains","Death Metal","Carlisle, Pennsylvania","N/A"
"Misery Rising","Thrash Metal/Metalcore","Cincinnati, Ohio","N/A"
"Misfire","Thrash Metal","Chicago, Illinois","2018-Present"
"Misfit","Heavy Metal","Hartford, Connecticut","1982-1984, 1984-? (as Fates Warning)"
"Misha Kushnir","Power/Progressive Metal","New York, New York","N/A"
"Misköl","Thrash/Speed Metal","Seattle, Washington","N/A"
"Misled","Melodic Heavy Metal","Scranton, Pennsylvania","N/A"
"Misogyny","Technical Death Metal","Seattle, Washington","N/A"
"Misotheist","Black Metal","Manville, Rhode Island","2006-?"
"Misotheist","Melodic Death/Black/Thrash Metal","Bryan/College Station, Texas (early); Toronto, Ontario (later)","2014-Present"
"Misrule","Death/Black Metal/Grindcore","Portland, Oregon","2018-Present"
"Miss Leota","Melodic Death Metal/Metalcore","Fountain Valley, California","2002-2009"
"Miss May I","Melodic Metalcore","Troy, Ohio","2006-Present"
"Missdemeanor","Speed Metal","New York","1984-1992"
"Missile Command","Death Metal","Davis, California","1996-1998"
"Missin'Link","Heavy Metal","Chicago, Illinois","2008-Present"
"Missing Body","Hardcore/Thrash Metal","New York, New York","N/A"
"Mission of One","Heavy Metal/Hard Rock","Watertown, Tennessee","?-? (as Missionary One), ?-Present"
"Mission Red","Power Metal","North Richland Hills, Texas","1992-1996"
"Missionary","Atmospheric Death/Black Metal","Phoenix, Arizona","2002-?"
"Mississippi Burning","Death/Thrash/Southern Metal","DeSoto County, Mississippi","2005-?"
"Mist of the Maelstrom","Funeral Doom/Death Metal","Rochester, New York","2003-?"
"Mist of Twilight","Melodic Black/Death Metal","Whittier, California","N/A"
"Mistake","Raw Black Metal","Eugene, Oregon","2008-2015, 2015-? (as Scars Upon Flesh)"
"Mister Charlie","Thrash Metal","Mesa, Arizona","N/A"
"Mister Grinch","Thrash/Groove Metal","Tacoma, Washington","N/A"
"Mister Scary","Heavy Metal","Albuquerque, New Mexico","?-?, ?-? (as Diamond Blade)"
"Mistform Dreamer","Progressive Metal","Green Bay, Wisconsin","2012-Present"
"Mistletoe","Raw Black Metal (early); Noise/Electronic (later)",,"N/A"
"Mistreated","Heavy Metal/Hard Rock","San Diego, California","N/A"
"Mistreater","Heavy Metal","Fontana, California","1982-?"
"Mistreater","Heavy Metal","Cleveland, Ohio","1978-1989"
"Mistress","Heavy/Speed Metal","Philadelphia, Pennsylvania","2002-?"
"Mistress 9","Ambient Black Metal","Des Moines, Iowa","N/A"
"Mistrust","Heavy Metal","Seattle, Washington","1985-?"
"Misty Rox","Power Metal","Wheeling, West Virginia","N/A"
"Misura","Metalcore","Virginia Beach, Virginia","1998-2002"
"Mithlond","Black Metal/Ambient","Trenton nj","2017-Present"
"Mithra","Thrash/Groove Metal","Hinesville/Allenhurst, Georgia","N/A"
"Mithridium","Melodic Thrash Metal/Metalcore","Columbus, Ohio","2008-2011 (as Black Rue), 2011-Present"
"Mithril","Heavy Metal","Vermillion, Ohio","1992-1995"
"Mithril Hall","Black/Folk Metal","Torrance, California","2005-?"
"Mitra","Thrash/Stoner Metal","Dallas, Texas","2005-2012"
"Mitternacht","Black Metal",,"2020-Present"
"Miwa","Heavy Metal","Los Angeles, California","N/A"
"Mizeria","Melodic Death Metal","Pleasant Hill, California","2005-2006 (as Abgrund), 2006-2006 (as Inward Scream), 2007-2008 (as Mizeria), 2009-2009"
"Mizery","Thrash Metal","Phoenix, Arizona","1988-?"
"Mizzouloid","Death Metal/Grindcore","Pennsylvania","N/A"
"Mjød","Folk/Viking Metal","Milwaukee, Wisconsin","2008-Present"
"Mjøllnir","Black Metal","Lynbrook (Long Island), New York","2004-?"
"Mjollnir","Black Metal","Orlando, Florida","2006-Present"
"Mjollnir","Black Metal","Mattawan, New Jersey","2009-?"
"MMFHL","Experimental Black Metal","Decatur, Illinois","2001-?"
"MNDWRX","Thrash/Groove Metal","Baltimore, Maryland","N/A"
"Mnemonic Wetbrain Syndrome","Slam/Brutal Death Metal","New York, New York","2007-Present"
"MNRVA","Doom/Stoner/Sludge Metal","Columbia, South Carolina","2018-Present"
"Mo Rage","Heavy/Thrash Metal","Cleveland, Ohio","1990-Present"
"Mo'ynoq","Black Metal","Raleigh, North Carolina","2016-Present"
"Moab","Psychedelic Doom Metal","Los Angeles, California","N/A"
"Moan","Doom/Sludge Metal","Portland, Oregon","2014-Present"
"Moat","Black Metal, Dark Jazz, Post-Black Metal","Los Angeles, California","1996-2001 (as Darkness Ravening), 2001-Present"
"Mob Scene","Heavy/Power Metal","Akron, Ohio","2003-Present"
"Mobchild","Heavy Metal","West Middlesex, Pennsylvania","1993-1999, 2017-Present"
"Mobile Deathcamp","Thrash Metal","Toledo, Ohio","2007-Present"
"Möbius","Heavy Metal",,"N/A"
"Mobula","Psychedelic Sludge/Doom Metal","Baltimore, Maryland","N/A"
"Mocata","Death Metal","Austin, Texas","2020-Present"
"Mock the Innocent","Black Metal","Merced, California","?-2012"
"Mockcharge","Stoner/Sludge Metal/Punk","New York, New York","2019-Present"
"Mockery","Black Metal","Los Angeles, California","2009-?"
"Mockingbird","Atmospheric Sludge Metal","Akron, Ohio","2008-Present"
"Mode of Egress","Post-Black Metal","Philadelphia, Pennsylvania","2010-Present"
"Model Citizen","Thrash/Power Metal","Milwaukee, Wisconsin","N/A"
"Modern Dark Age","Black Metal","Goleta, California","2008-Present"
"Modern Day Outlaw","Southern Metal","Fort Lauderdale, Florida","2007-Present"
"Modern Lobotomy","Brutal Death Metal","Milwaukee, Wisconsin","N/A"
"Modern Weapons","Electronic/Melodic Death Metal","Los Angeles, California","N/A"
"Modessa","Death/Black Metal","San Diego, California","2000-?"
"Modifidious","Groove/Thrash Metal","Des Moines, Iowa","1991-1995"
"Modok","Death Metal","Denver, Colorado","2015-Present"
"Modraniht","Pagan Black Metal","Sacramento, California","2014-Present"
"Modulus","Technical Death Metal","Woodbridge, Virginia","1995-?"
"Modus","Heavy/Thrash Metal","Olympia, Washington","?-2006"
"Modus Operandi","Technical Power/Thrash Metal","Orange County, California","1994-?"
"Mofsed","Death Metal","Davis, California","2011-Present"
"Mogar","Melodic Death Metal","Canton, Ohio","2017-2022"
"Moguera","Doom/Sludge/Post-Metal","West Palm Beach, Florida","?-2016"
"Moharebeh","Black/Death Metal",,"2014-Present"
"Mohler","Slam/Brutal Death Metal","California","2020-Present"
"Moirae","Progressive/Post-Metal","Miami, Florida","2010-Present"
